gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
MSTRG.319,412,24,1,21,36,26,1,27,1,29,20,63,1,63,1,16
MSTRG.14998,1,34,1,10,1,47,1,12,25,105,1,356,1,501,265,157
MSTRG.6490,1,68,20,79,1,65,1,55,76,79,1,240,1,39,37,80
MSTRG.7089,1,167,6,803,428,181,1,188,1,394,49,310,1511,732,71,372
MSTRG.17307,1,180,266,137,1,135,1,107,31,167,1,503,1,225,1,157
MSTRG.29495,1,162,941,80,1,82,1,135,1,109,1,193,1,148,75,69
MSTRG.34972,814,684,1,483,237,366,1,321,23,338,310,747,1,518,38,405
MSTRG.6919,206,121,1,186,1,47,1,37,1,22,254,220,1,176,1,60
MSTRG.3167,1196,316,1,194,941,254,1,179,1,139,1,380,1,354,1,205
MSTRG.47141,1,160,1,17,1,103,1,66,226,204,1,305,1,343,271,348
MSTRG.26530,1,159,725,147,1,177,3,167,1,110,1,223,1,184,67,95
MSTRG.9094,1,52,1,25,1,10,393,16,249,44,1,32,1,81,1,15
MSTRG.1787,1,234,291,209,1,271,1,391,117,169,1,318,1,261,1,284
MSTRG.45856,1,7,84,28,1,80,155,84,1,82,2,302,2,142,16,34
MSTRG.3355,1,116,1,39,242,79,1,49,1,115,106,114,1,295,1,196
MSTRG.31624,1,80,1,78,184,150,1,129,1,42,76,170,1,123,1,91
MSTRG.6013,1,605,1,503,4550,538,1,429,52,389,456,879,1,538,1,501
MSTRG.30108,1,97,153,37,1,157,1,63,1,77,1,144,1,127,86,53
MSTRG.16925,1,248,642,201,1,177,1,204,19,161,1,327,1,397,1,146
MSTRG.38320,408,109,1,145,1,138,1,219,1,229,227,370,1,247,1,123
MSTRG.43010,444,3,1,30,1,1,1,21,1,1,1,2,1,4,1,8
