gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
gene15282,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1
MSTRG.14583,1,14,2,33,2,29,1,33,69,30,2,76,2,52,67,25
gene15284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene15285,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
MSTRG.51092,2,674,115,523,114,558,1,772,48,134,1,395,1,177,32,196
MSTRG.23871,1,6,1,14,1,6,1,5,1,1,1,1,1,1,1,1
MSTRG.47440,1,1,1,1,1,1,42,67,1,1,1,7,1,10,1,1
MSTRG.24082,1,1,1,1,1,43,1,1,1,4,1,1,1,16,1,14
MSTRG.33600,1,12,1,7,1,1,1,38,1,1,1,1,1,1,1,6
MSTRG.24080,1,8,1,7,1,1,1,4,1,1,1,26,1,1,1,6
MSTRG.24081,1,1,1,1,366,12,1,1,1,1,1,78,1,9,1,9
MSTRG.24086,1,7,177,5,1,1,1,1,1,1,1,1,1,4,1,1
MSTRG.24087,1,1,1,20,1,20,1,5,1,27,1,39,1,29,1,21
MSTRG.24084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.24085,1,43,1,60,1,1,1,1,1,9,1,30,1,24,1,27
MSTRG.10009,160,166,364,243,175,154,116,290,123,117,105,236,130,199,48,110
MSTRG.24088,1,5,237,6,4,8,1,1,1,1,1,3,1,1,1,2
MSTRG.24089,1,30,1,1,1,20,1,1,1,27,1,1,1,15,1,10
MSTRG.10008,76,1,1,1,1,1,1,22,1,4,1,7,1,1,6,6
MSTRG.28830,1,52,1,90,1,64,1,48,1,40,1,120,1,118,1,93
gene29379,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
MSTRG.36895,1,130,1,66,1,281,1,67,1,177,1,251,1014,398,126,172
MSTRG.33608,1,11,1,1,1,31,1,23,1,11,1,1,1,1,1,3
MSTRG.23877,1,11,1,1,1,3,1,4,1,5,1,1,1,4,1,1
MSTRG.33609,1,1,2,4,1,1,1,1,1,8,1,1,1,28,1,1
gene14601,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1
gene25259,1,3,1,1,1,1,1,1,1,1,1,1,1,12,1,1
MSTRG.14308,1,1,3,40,1,1,2,3,2,2,2,2,2,2,1,1
MSTRG.14309,1,2,1,15,1,1,1,4,1,1,1,1,1,1,1,1
MSTRG.14302,1,11,2,45,778,18,1,70,1,13,1,42,1,6,38,51
MSTRG.14303,1,1,1,1,1,1,1,26,1,1,1,1,1,1,1,1
MSTRG.14300,1,1,2,45,1,1,1,19,1,4,1,1,1,4,1,1
MSTRG.14301,1,2,1,1,1,1,1,5,1,18,1,9,1,1,1,3
MSTRG.14306,1,46,1,63,1,16,1,19,1,12,1,38,1,1,1,1
gene25255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.14304,1,11,1,4,1,2,1,4,1,1,1,5,1,1,1,1
MSTRG.14305,1,4,1,1,1,5,1,5,1,1,1,41,1,1,1,3
MSTRG.44586,1,7,1,107,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.8844,1,121,1,125,1,56,1,150,294,23,2,122,1,78,1,45
MSTRG.21908,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2
MSTRG.40699,1,5,1,52,1,30,1,45,1,6,1,24,1,27,1,7
MSTRG.16828,1,86,1,74,1,72,1,71,1,27,1,65,1,21,1,22
MSTRG.21900,1,7,1,59,1,24,1,4,1,9,1,28,1,1,1,1
MSTRG.21901,1,1,1,14,1,1,1,13,1,1,1,1,1,21,1,18
MSTRG.21902,1,1,1,32,1,9,1,1,1,17,1,1,1,1,1,4
MSTRG.21903,1,1,2,22,1,1,1,2,1,6,1,1,1,1,1,1
MSTRG.21904,337,3016,1078,2599,1361,2385,70,2891,386,1408,343,2693,782,1544,728,1235
MSTRG.21905,1,45,1,5,1,33,1,103,1,29,1,63,1,6,1,45
MSTRG.21906,1,96,2,55,1,81,1,66,1,47,1,64,1,78,3,36
MSTRG.21907,1,4,1,4,1,23,1,8,1,31,1,54,1,43,1,28
MSTRG.47269,1,3,1,1,1,3,1,16,1,4,1,13,1,1,1,1
MSTRG.47268,1,21,1,1,1,1,1,1,1,5,1,3,1,1,1,7
MSTRG.47261,1,119,1,11,99,141,1,51,1,50,1,231,47,219,28,175
MSTRG.47260,1,1,1,1,1,1,1,1,1,3,1,6,1,5,1,19
MSTRG.47263,1,2,1,1,1,3,1,2,1,25,1,61,1,63,1,24
MSTRG.47262,1,280,1,32,1403,118,1,104,1,158,597,271,1,232,162,291
MSTRG.47265,1,3,1,1,1,2,1,2,1,3,1,2,1,2,1,1
MSTRG.47264,1,11,1,11,1,1,1,1,1,1,1,1,1,13,1,1
MSTRG.47267,1,20,1,16,1,1,1,6,1,7,1,9,1,21,1,5
MSTRG.47266,1,29,66,225,2,35,13,194,1,56,1,93,1,53,1,24
MSTRG.39394,1,1,1,1,1,1,1,1,1,5,90,1,1,1,1,1
gene20158,1,8,1,1,1,3,1,1,1,1,1,13,1,14,1,4
MSTRG.39395,2,25,1,38,1,19,2,33,1,12,1,41,1,5,1,2
MSTRG.47429,1,26,1,1,1,2,1,1,1,1,1,1,1,1,1,1
gene20152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene20153,1,1,1,1,1,5,1,1,1,1,1,1,1,11,1,1
MSTRG.16821,708,752,486,674,3539,1475,1,328,1533,1891,1677,4233,8554,7484,2144,3138
gene11501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.47428,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
MSTRG.40690,1,4,1,42,1,5,1,1,1,3,1,1,1,1,1,3
gene28972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene8497,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.39391,1,1,226,1,2,1,1,1,3,1,1,1,1,1,1,1
gene10672,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
MSTRG.44517,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1
MSTRG.44514,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.44515,1,33,1,87,781,67,127,101,1,68,130,175,1,61,1,79
MSTRG.44512,1,67,337,43,1,79,1,54,1,105,39,265,468,196,1,173
MSTRG.44513,1,80,1,63,1,42,1,171,1,81,1,158,1,98,1,39
MSTRG.44510,1,60,530,2,1,15,1,21,3,33,1,39,1,23,3,16
MSTRG.44511,44,5,1,1,78,4,1,13,1,1,1,12,1,1,1,1
MSTRG.16825,1,1,1,18,1,4,1,1,1,1,1,1,1,1,1,1
